Bug ID,chunk
226496,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [Package Exlorer] Filter 'empty packages' does not show packages with non-Java files
Resolution: FIXED"
28069,"Product: JDT
Component: Core
Severity: blocker
Priority: P2
Summary: JDTCompilerAdapter and compiler.batch.Main out of sync in I20021210 build
Resolution: FIXED"
24383,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: Update the printUsage of InternalAntRunner
Resolution: FIXED"
19644,"Product: PDE
Component: UI
Severity: normal
Priority: P2
Summary: NullMenuManager NullToolBarManager return null for getOverrides
Resolution: FIXED"
119599,"Product: Platform
Component: UI
Severity: critical
Priority: P2
Summary: [Dialogs] Every PopupDialiog is leaked if PopupDialolg.HOVER_SHELLSTYLE or SWT.ON_TOP is set
Resolution: FIXED"
405800,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: The NPE when the editor with invalid resource gets active
Resolution: FIXED"
470535,"Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: Bug in UserLibrary.hashCode()
Resolution: FIXED"
369916,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: 'Tracing' page content feels odd
Resolution: FIXED"
50203,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Exception in error log + blank rendered in sessions view
Resolution: FIXED"
297187,"Product: PDE
Component: UI
Severity: trivial
Priority: P3
Summary: UI polish for Delete Plug-in Projects dialog
Resolution: FIXED"
61284,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: Failing code completion tests for Ant
Resolution: FIXED"
40680,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Usability issues with Edit JRE dialog
Resolution: FIXED"
26800,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: No javadoc generated in org.eclipse.jdt.doc.isv
Resolution: FIXED"
32823,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Stepping into already executed method brings up unknown source editor
Resolution: FIXED"
6381,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: Cleanup Add/Replace Local History items in Package Viewer
Resolution: FIXED"
315095,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: [doc] Missing degredation comment for SchemaTraversePerfTest#testSchemaTraverse()
Resolution: FIXED"
218903,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: [Viewers] support extensibility of the refresh job in FilteredTree
Resolution: FIXED"
25900,"Product: JDT
Component: Text
Severity: critical
Priority: P1
Summary: NPE in CompilationUnitEditor
Resolution: FIXED"
55242,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: NPE on shutting down Eclipse
Resolution: FIXED"
400363,"Product: PDE
Component: Build
Severity: normal
Priority: P3
Summary: PDE Build test failures due to JUnit 3 removal
Resolution: FIXED"
137182,"Product: Platform
Component: Text
Severity: normal
Priority: P2
Summary: [hovering] Annotation hover always placed at same horizontal position
Resolution: FIXED"
46740,"Product: Platform
Component: Ant
Severity: major
Priority: P3
Summary: Loss of the separate output directories for org.eclipse.ant.ui
Resolution: FIXED"
175859,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: [DataBinding] Use MessageFormat for validation hints
Resolution: FIXED"
1743,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Scrapbook should have accelerator for Display (1GKZ3BT)
Resolution: FIXED"
62356,"Product: Platform
Component: Compare
Severity: normal
Priority: P3
Summary: Use progress service when running compare input
Resolution: FIXED"
7309,"Product: Platform
Component: Team
Severity: normal
Priority: P1
Summary: Should be allowed to save patch directly into the file system
Resolution: FIXED"
68142,"Product: Platform
Component: Text
Severity: major
Priority: P2
Summary: [implementation] IAE when reverting file
Resolution: FIXED"
11405,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Launch Timeout
Resolution: FIXED"
23477,"Product: Platform
Component: Debug
Severity: major
Priority: P2
Summary: Most recent launch config lost after each restart
Resolution: FIXED"
395324,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: Do not add all EEs to ant properties to avoid 206 filename or extension is too long errors
Resolution: FIXED"
58560,"Product: Platform
Component: UI
Severity: major
Priority: P1
Summary: [DetachedView] Detached view toolbars stop working
Resolution: FIXED"
4203,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: DCR: Javadoc code assist should offer better support for closing tags (1GKQ0IM)
Resolution: FIXED"
196066,"Product: Platform
Component: UI
Severity: trivial
Priority: P3
Summary: Missing doc for new splash handling in 3.3
Resolution: FIXED"
6481,"Product: Platform
Component: Debug
Severity: normal
Priority: P2
Summary: Feature: Annotate launch with transaction id
Resolution: FIXED"
415721,"Product: Platform
Component: Search
Severity: major
Priority: P3
Summary: [WorkbenchParts] Accessibility - Keyboard focus lost after search
Resolution: FIXED"
23566,"Product: Platform
Component: SWT
Severity: normal
Priority: P1
Summary: Accessibility - toolbar not accessible by keyboard
Resolution: FIXED"
270973,"Product: PDE
Component: API Tools
Severity: enhancement
Priority: P3
Summary: Allow 'include' lists to be used for our Ant tasks
Resolution: FIXED"
58533,"Product: Platform
Component: UI
Severity: major
Priority: P2
Summary: Need to check for setSystem being set after schedule
Resolution: FIXED"
135446,"Product: Platform
Component: UI
Severity: minor
Priority: P3
Summary: [DataBinding] Provide javadoc for TextObservableValue
Resolution: FIXED"
11210,"Product: JDT
Component: Core
Severity: normal
Priority: P2
Summary: ResourceDeltas are lost when merging deltas
Resolution: FIXED"
